,index,x,y,cbga
0,1,335252.0,4262999.0,-203.753
1,2,335002.0,4262998.0,-204.515
2,3,335003.0,4262749.0,-204.162
3,4,335003.0,4262499.0,-203.562
4,5,335253.0,4262499.0,-204.063
5,6,335251.0,4262749.0,-203.982
6,7,335252.0,4263250.0,-204.074
7,8,335001.0,4263250.0,-204.821
8,9,334751.0,4263000.0,-205.74900000000002
9,10,334751.0,4263250.0,-204.30700000000002
10,11,334500.0,4262999.0,-206.235
11,12,334250.0,4262999.0,-206.623
12,13,334501.0,4263500.0,-205.886
13,14,334501.0,4263249.0,-206.02700000000002
14,15,334251.0,4263250.0,-206.55700000000002
15,16,334251.0,4263499.0,-206.442
16,17,334250.0,4263749.0,-206.283
17,18,334250.0,4263999.0,-205.98
18,19,334500.0,4263998.0,-205.532
19,20,334752.0,4263999.0,-204.17700000000002
20,21,334501.0,4263749.0,-205.405
21,22,337501.0,4261998.0,-197.114
22,23,338001.0,4262000.0,-196.149
23,24,337000.0,4261999.0,-198.291
24,25,336500.0,4261999.0,-196.65099999999998
25,26,336001.0,4261999.0,-201.578
26,27,337501.0,4261499.0,-197.155
27,28,337001.0,4261499.0,-198.56799999999998
28,29,336501.0,4261499.0,-200.28599999999997
29,30,336001.0,4261499.0,-202.05599999999998
30,31,335501.0,4261498.0,-203.50099999999998
31,32,335001.0,4261499.0,-204.91400000000002
32,33,334501.0,4261499.0,-205.003
33,34,334001.0,4261500.0,-207.511
34,35,333502.0,4261499.0,-208.93
35,36,333003.0,4261500.0,-210.01
36,37,336760.0,4264196.0,-196.1
37,38,330061.0,4265083.0,-210.722
38,39,334269.0,4258076.0,-209.447
39,40,336842.0,4260925.0,-199.40400000000002
40,41,335501.0,4263998.0,-202.13
41,42,333002.0,4263499.0,-209.135
42,43,333502.0,4263498.0,-207.935
43,44,334002.0,4263498.0,-207.107
44,45,334002.0,4263998.0,-206.475
45,46,333502.0,4263998.0,-208.09900000000002
46,47,333003.0,4263998.0,-209.203
47,48,333002.0,4264499.0,-208.862
48,49,333502.0,4264499.0,-207.715
49,50,334001.0,4264499.0,-207.253
50,51,334501.0,4264500.0,-205.233
51,52,335001.0,4264499.0,-204.445
52,53,335500.0,4264499.0,-202.041
53,54,336001.0,4264498.0,-199.329
54,55,336500.0,4264499.0,-197.35299999999998
55,56,337002.0,4264499.0,-195.618
56,57,337503.0,4264500.0,-193.143
57,58,338002.0,4264499.0,-193.179
58,59,338502.0,4264498.0,-193.081
59,60,339002.0,4264497.0,-193.13099999999997
60,61,339499.0,4264500.0,-194.09599999999998
61,62,337501.0,4259999.0,-199.64700000000002
62,63,339501.0,4259000.0,-203.62
63,64,338501.0,4258998.0,-200.192
64,65,337500.0,4259000.0,-200.49099999999999
65,66,336502.0,4259000.0,-201.72799999999998
66,67,335501.0,4259000.0,-205.296
67,68,334502.0,4258999.0,-208.799
68,69,333501.0,4258999.0,-211.425
69,70,332501.0,4258999.0,-214.012
70,71,331501.0,4258999.0,-215.707
71,72,330501.0,4258999.0,-216.929
72,75,330499.0,4264002.0,-212.80599999999998
73,76,331501.0,4263999.0,-212.45
74,77,332501.0,4264000.0,-210.082
75,78,335612.0,4255587.0,-203.893
76,79,335614.0,4255587.0,-205.542
77,80,335512.0,4255587.0,-207.324
78,81,335314.0,4255586.0,-207.546
79,82,335116.0,4255605.0,-207.567
80,83,334910.0,4255620.0,-205.563
81,84,334706.0,4255610.0,-208.47
82,85,334505.0,4255596.0,-208.74
83,86,334309.0,4255583.0,-208.873
84,87,334108.0,4255556.0,-209.15900000000002
85,88,333903.0,4255540.0,-209.421
86,89,333702.0,4255554.0,-209.449
87,90,333507.0,4255559.0,-209.68900000000002
88,91,333307.0,4255556.0,-209.93099999999998
89,92,333050.0,4255539.0,-209.43400000000003
90,93,332801.0,4255544.0,-209.28900000000002
91,94,332295.0,4255532.0,-210.28
92,95,331810.0,4255522.0,-212.274
93,96,331307.0,4255516.0,-213.153
94,97,330811.0,4255514.0,-213.528
95,98,330303.0,4255505.0,-214.92700000000002
96,99,333905.0,4257995.0,-210.793
97,100,334102.0,4257997.0,-210.07
98,101,334304.0,4257997.0,-209.26
99,102,334500.0,4258000.0,-208.602
100,103,334697.0,4257998.0,-208.09099999999998
101,104,334899.0,4257997.0,-206.983
102,105,335104.0,4257997.0,-206.74
103,106,335303.0,4258002.0,-203.987
104,107,335503.0,4257994.0,-205.415
105,108,331503.0,4258000.0,-215.86599999999999
106,109,332502.0,4257997.0,-214.50799999999998
107,110,333004.0,4258002.0,-212.229
108,111,333505.0,4258001.0,-211.65599999999998
109,112,335700.0,4257999.0,-205.455
110,113,336107.0,4257997.0,-204.213
111,114,336504.0,4257996.0,-203.395
112,115,337503.0,4257991.0,-200.282
113,116,336525.0,4260461.0,-200.017
114,117,336737.0,4260451.0,-199.25400000000002
115,118,336936.0,4260437.0,-198.021
116,119,337133.0,4260427.0,-197.592
117,120,337332.0,4260410.0,-198.363
118,121,337533.0,4260396.0,-198.49099999999999
119,122,337734.0,4260388.0,-196.577
120,123,337931.0,4260377.0,-198.99
121,124,339499.0,4261489.0,-200.41099999999997
122,125,338998.0,4261501.0,-197.88299999999998
123,126,338503.0,4261493.0,-199.024
124,127,337708.0,4260554.0,-198.243
125,128,332501.0,4265999.0,-209.30200000000002
126,129,333501.0,4265999.0,-207.06900000000002
127,130,334501.0,4265999.0,-204.525
128,131,335501.0,4265999.0,-200.84799999999998
129,132,336502.0,4265999.0,-195.768
130,133,337503.0,4265999.0,-192.05200000000002
131,134,338502.0,4266000.0,-190.785
132,135,339502.0,4265998.0,-191.301
133,137,330500.0,4266999.0,-209.30700000000002
134,138,332500.0,4267000.0,-208.935
135,139,333501.0,4267000.0,-206.493
136,140,334500.0,4266999.0,-203.523
137,141,335502.0,4267000.0,-199.42
138,142,336502.0,4267000.0,-194.68200000000002
139,143,337503.0,4266999.0,-190.783
140,144,338501.0,4266999.0,-188.581
141,145,339502.0,4267000.0,-187.666
142,146,342542.0,4267010.0,-194.774
143,147,341629.0,4267491.0,-190.187
144,148,340017.0,4263945.0,-198.685
145,149,339500.0,4264000.0,-197.396
146,150,338999.0,4263998.0,-193.118
147,151,338501.0,4263999.0,-193.41
148,152,338501.0,4263499.0,-194.68
149,154,330502.0,4259999.0,-214.83
150,155,331502.0,4260000.0,-214.954
151,156,332502.0,4259999.0,-212.68200000000002
152,157,333502.0,4260000.0,-210.791
153,158,335502.0,4262999.0,-202.87400000000002
154,159,335752.0,4262750.0,-202.27200000000002
155,160,336003.0,4262499.0,-201.583
156,161,336004.0,4262748.0,-201.324
157,162,335502.0,4262749.0,-202.933
158,163,335502.0,4262500.0,-203.456
159,164,335752.0,4262500.0,-201.74200000000002
160,165,336001.0,4263001.0,-201.176
161,166,336001.0,4263250.0,-200.798
162,167,336000.0,4263500.0,-200.317
163,168,335751.0,4263499.0,-201.517
164,169,335750.0,4263250.0,-201.56599999999997
165,170,335751.0,4262999.0,-201.293
166,171,335502.0,4263249.0,-202.111
167,172,335502.0,4263499.0,-201.58700000000002
168,173,335251.0,4263500.0,-203.24400000000003
169,174,335001.0,4263499.0,-203.93200000000002
170,175,334751.0,4263498.0,-202.639
171,176,334751.0,4263748.0,-204.42
172,177,335001.0,4263748.0,-204.05700000000002
173,178,335253.0,4263749.0,-203.387
174,179,335252.0,4263999.0,-203.107
175,180,338000.0,4262499.0,-195.708
176,181,337500.0,4262500.0,-196.93900000000002
177,182,337000.0,4262499.0,-198.115
178,183,336501.0,4262499.0,-199.47099999999998
179,184,334501.0,4262499.0,-207.18599999999998
180,185,334002.0,4262501.0,-207.076
181,186,333502.0,4262499.0,-207.46599999999998
182,187,333002.0,4262498.0,-209.382
183,188,333002.0,4261999.0,-209.57299999999998
184,189,333502.0,4261998.0,-208.22799999999998
185,190,334002.0,4261999.0,-207.123
186,191,334502.0,4262000.0,-206.101
187,192,335002.0,4262000.0,-203.657
188,193,335503.0,4262001.0,-203.66299999999998
189,194,336760.0,4264195.0,-196.21900000000002
190,195,330061.0,4265080.0,-210.87
191,196,334268.0,4258076.0,-209.623
192,197,336844.0,4260925.0,-199.516
193,198,335002.0,4263999.0,-203.428
194,199,336502.0,4264000.0,-197.926
195,200,336001.0,4264000.0,-199.99
196,201,336502.0,4263500.0,-197.395
197,202,337003.0,4263499.0,-193.791
198,203,337503.0,4263499.0,-193.544
199,204,338002.0,4263499.0,-194.43099999999998
200,205,338001.0,4262999.0,-194.859
201,206,338003.0,4263999.0,-193.295
202,207,337503.0,4264000.0,-192.979
203,208,337003.0,4264000.0,-190.9
204,209,333501.0,4264998.0,-208.12
205,210,334000.0,4264999.0,-206.89
206,211,334501.0,4264999.0,-204.093
207,212,335002.0,4265000.0,-203.787
208,213,335502.0,4265001.0,-201.71200000000002
209,214,336002.0,4265001.0,-199.08
210,215,336503.0,4264999.0,-196.801
211,216,337002.0,4264999.0,-194.825
212,217,337502.0,4264998.0,-193.53400000000002
213,218,338002.0,4264999.0,-192.523
214,219,338501.0,4265000.0,-192.44799999999998
215,220,339001.0,4265000.0,-192.65400000000002
216,221,339502.0,4264999.0,-194.137
217,222,338001.0,4260998.0,-198.972
218,223,337501.0,4261000.0,-196.732
219,224,337001.0,4261000.0,-198.88099999999997
220,225,336501.0,4261000.0,-200.91
221,226,336000.0,4261001.0,-202.287
222,227,335500.0,4261000.0,-204.22099999999998
223,228,335001.0,4260999.0,-205.63
224,229,334500.0,4260999.0,-207.047
225,230,334001.0,4261000.0,-208.185
226,231,333501.0,4261000.0,-209.81799999999998
227,232,333002.0,4261001.0,-211.017
228,233,332502.0,4260999.0,-212.05900000000003
229,234,331501.0,4260998.0,-214.07299999999998
230,235,330500.0,4260999.0,-215.005
231,236,332501.0,4263000.0,-211.72799999999998
232,237,331501.0,4263000.0,-213.051
233,238,330500.0,4262999.0,-212.80700000000002
234,241,330501.0,4262000.0,-214.452
235,242,331500.0,4262000.0,-212.925
236,243,332501.0,4262000.0,-211.19799999999998
237,245,335451.0,4263040.0,-203.15099999999998
238,246,335607.0,4255587.0,-205.519
239,247,335611.0,4255587.0,-205.515
240,248,335312.0,4255587.0,-207.627
241,249,335412.0,4255584.0,-207.502
242,250,335215.0,4255593.0,-207.578
243,251,335013.0,4255619.0,-207.737
244,252,334807.0,4255616.0,-208.112
245,253,334608.0,4255602.0,-207.93599999999998
246,254,334406.0,4255589.0,-208.739
247,255,334209.0,4255576.0,-209.05900000000003
248,256,334011.0,4255548.0,-209.31599999999997
249,257,333905.0,4255537.0,-209.403
250,258,335819.0,4255577.0,-205.046
251,259,336009.0,4255573.0,-205.451
252,260,336209.0,4255565.0,-204.77599999999998
253,261,336406.0,4255566.0,-204.396
254,262,336613.0,4255560.0,-201.65400000000002
255,263,336819.0,4255548.0,-203.079
256,264,337315.0,4255510.0,-199.815
257,265,337767.0,4255294.0,-200.34400000000002
258,266,338095.0,4254901.0,-200.93099999999998
259,267,333905.0,4257994.0,-210.59
260,268,334002.0,4257997.0,-210.205
261,269,334202.0,4258001.0,-209.701
262,270,334401.0,4257998.0,-208.93900000000002
263,271,334601.0,4257997.0,-208.30700000000002
264,272,334798.0,4257999.0,-207.87
265,273,335001.0,4257999.0,-207.291
266,274,335203.0,4257999.0,-206.41
267,275,335399.0,4257999.0,-205.778
268,276,331997.0,4258002.0,-215.271
269,277,332752.0,4257998.0,-213.446
270,278,333252.0,4258002.0,-212.18599999999998
271,279,333705.0,4257999.0,-211.076
272,280,335701.0,4257999.0,-205.3
273,281,335901.0,4258000.0,-204.916
274,282,336299.0,4258000.0,-204.503
275,283,336992.0,4258013.0,-201.604
276,284,336525.0,4260459.0,-199.995
277,285,336633.0,4260451.0,-199.59900000000002
278,286,336836.0,4260441.0,-198.56099999999998
279,287,337032.0,4260429.0,-195.908
280,288,337228.0,4260417.0,-197.859
281,289,337430.0,4260402.0,-198.359
282,290,337631.0,4260391.0,-198.407
283,291,337830.0,4260379.0,-197.875
284,292,338500.0,4260999.0,-197.893
285,293,339002.0,4261000.0,-198.627
286,294,338500.0,4261999.0,-199.335
287,295,339001.0,4262003.0,-200.22099999999998
288,296,337708.0,4260554.0,-198.315
289,297,332943.0,4265030.0,-209.252
290,298,332501.0,4264999.0,-210.153
291,299,331501.0,4264997.0,-210.50799999999998
292,300,330502.0,4265000.0,-210.99099999999999
293,303,330503.0,4265998.0,-209.672
294,304,331502.0,4266001.0,-209.81799999999998
295,305,331502.0,4266999.0,-209.08
296,306,339452.0,4260119.0,-200.465
297,307,339506.0,4261999.0,-201.084
298,308,339013.0,4262486.0,-196.22400000000002
299,309,338515.0,4262536.0,-195.437
300,310,338499.0,4263014.0,-192.898
301,311,339027.0,4263283.0,-195.27
302,312,339474.0,4263260.0,-196.82
303,313,338099.0,4261529.0,-198.71099999999998
304,332,340613.0,4262090.0,-200.644
305,333,342127.0,4262253.0,-203.43
306,334,343527.0,4262162.0,-205.054
307,335,343962.0,4263554.0,-206.27
308,336,343143.0,4264685.0,-202.453
309,337,343337.0,4266036.0,-203.63299999999998
310,342,336973.0,4260010.0,-199.985
311,343,336484.0,4259968.0,-201.635
312,344,335985.0,4259988.0,-203.092
313,345,335504.0,4260006.0,-203.743
314,346,335000.0,4260024.0,-206.368
315,347,334515.0,4260049.0,-208.262
316,348,333983.0,4260062.0,-209.52700000000002
317,359,334852.0,4262980.0,-204.938
318,360,336739.0,4264151.0,-195.94
319,361,337662.0,4264167.0,-193.209
320,362,337639.0,4262823.0,-195.332
321,363,337453.0,4262911.0,-195.201
322,364,337289.0,4262914.0,-194.458
323,365,337076.0,4262892.0,-195.604
324,366,336883.0,4262925.0,-196.743
325,367,336688.0,4262931.0,-197.55
326,368,334655.0,4262965.0,-205.308
327,369,334455.0,4262971.0,-205.81400000000002
328,370,335050.0,4262987.0,-204.13099999999997
329,371,334256.0,4262980.0,-206.102
330,372,334054.0,4262982.0,-206.55
331,373,333664.0,4262989.0,-207.41299999999998
332,374,333257.0,4262997.0,-208.34
333,375,332836.0,4263008.0,-209.158
334,376,334183.0,4263671.0,-206.327
335,377,334361.0,4263581.0,-205.87400000000002
336,378,334549.0,4263491.0,-205.65099999999998
337,379,334729.0,4263396.0,-204.757
338,380,334891.0,4263264.0,-204.62900000000002
339,381,335262.0,4262952.0,-203.695
340,382,335081.0,4263210.0,-203.19400000000002
341,383,335245.0,4263124.0,-203.601
342,384,335436.0,4263035.0,-202.739
343,385,335806.0,4262847.0,-201.342
344,386,336928.0,4262789.0,-196.153
345,387,336786.0,4262655.0,-197.72299999999998
346,388,336634.0,4262519.0,-198.373
347,389,336485.0,4262387.0,-197.74200000000002
348,390,336325.0,4262246.0,-200.079
349,391,336185.0,4262112.0,-200.706
350,392,335451.0,4262947.0,-202.69799999999998
351,393,336039.0,4261990.0,-201.301
352,394,333857.0,4262985.0,-207.078
353,395,335658.0,4262941.0,-201.06799999999998
354,396,335860.0,4262929.0,-201.24900000000002
355,397,336095.0,4262926.0,-200.553
356,398,336278.0,4262943.0,-199.739
357,399,336493.0,4262931.0,-198.206
358,1577,335281.0,4253007.0,-204.403
359,1587,335285.0,4253192.0,-204.68
360,1591,334296.0,4253230.0,-205.75599999999997
361,1592,335910.0,4253197.0,-205.385
362,1593,341732.0,4253080.0,-212.679
363,1594,342023.0,4253075.0,-210.386
364,1602,343424.0,4253214.0,-215.01
365,1604,335289.0,4253395.0,-205.128
366,1605,331943.0,4253501.0,-211.183
367,1608,331943.0,4253519.0,-211.067
368,1610,341141.0,4253370.0,-208.398
369,1614,335293.0,4253598.0,-205.89700000000002
370,1615,339950.0,4253523.0,-206.321
371,1616,339005.0,4253560.0,-203.455
372,1617,339950.0,4253541.0,-206.045
373,1621,333346.0,4253768.0,-208.407
374,1622,337362.0,4253686.0,-203.896
375,1623,338353.0,4253703.0,-203.685
376,1626,335311.0,4253783.0,-206.85
377,1627,343258.0,4253717.0,-214.15099999999998
378,1632,338369.0,4253851.0,-204.554
379,1635,335301.0,4253968.0,-205.52900000000002
380,1636,335534.0,4253982.0,-204.287
381,1653,335305.0,4254190.0,-205.55
382,1664,338208.0,4254483.0,-202.82
383,1665,335313.0,4254578.0,-208.23
384,1666,337772.0,4254528.0,-202.558
385,1668,337656.0,4254568.0,-203.25799999999998
386,1677,335317.0,4254782.0,-208.146
387,1679,339158.0,4254723.0,-201.69799999999998
388,1693,335307.0,4255004.0,-208.268
389,1694,342512.0,4254989.0,-217.852
390,1697,336707.0,4255142.0,-203.705
391,1698,335311.0,4255189.0,-207.854
392,1706,331400.0,4255381.0,-213.80900000000003
393,1709,335300.0,4255356.0,-208.08599999999998
394,1710,332579.0,4255449.0,-211.859
395,1713,342038.0,4255313.0,-216.87599999999998
396,1714,332567.0,4255542.0,-211.812
397,1715,334096.0,4255547.0,-209.74099999999999
398,1718,334097.0,4255603.0,-209.645
399,1719,335304.0,4255578.0,-208.18099999999998
